CENG114;Computer Programming II;1;5;C;D;95;OGR.GOR. YUSUF EVREN AYKAC
CHEM101;GENERAL CHEMISTRY;1;5;C;S;110;DOC.DR. NURAY CELEBI
MATH104;Applied Linear Algebra;1;5;C;D;103;DOC.DR. MUHAMMED ABDULLAH BULBUL
MATH102;CALCULUS II;1;6;C;S;116;DR. OGR. UYESI SELIM BAHADIR
MATH106;PROBABILITY AND STATISTICS;1;6;C;S;79;DR. OGR. UYESI OSMAN SERDAR GEDIK
PHYS102;PHYSICS II;1;6;C;S;113;PROF.DR. ABDULLAH YILDIZ
TDL102;TURK DILI II;1;1;C;S;72;DOC.DR. MUSTAFA ARSLAN
TIT101;TURK INKILAP TARIHI I;1;1;C;S;101;DR. OGR. UYESI TEKIN ONAL
CENG202;Data Structures;2;5;C;D;99;DR. OGR. UYESI SHAFQAT UR REHMAN
CENG204;Computer System Architecture;2;5;C;D;86;DR. OGR. UYESI TAREK NAJJAR
CENG206;Programming Languages;2;5;C;D;135;DR. OGR. UYESI FAHREDDIN SUKRU TORUN
ENGR202;ENGINEERING MATHEMATICS II;2;6;C;S;104;DR. OGR. UYESI SELIM BAHADIR
ENGR254;PRINCIPLES OF BODY MOVEMENT;2;3;E;S;50;DR. OGR. UYESI OZKAN KILIC
CENG302;Formal Languages and Automata Theory;3;5;C;D;86;OGR.GOR. FADI YILMAZ
CENG304;Computer Networks;3;5;C;D;93;DR. OGR. UYESI MUSTAFA YENIAD
CENG306;Software Engineering;3;5;C;D;109;DR. OGR. UYESI FATIH NAR
CENG310;Human Computer Interaction;3;5;E;D;30;DR. OGR. UYESI MUHAMMED ABDULLAH BULBUL
CENG311;WEB TECHNOLOGY APPLICATIONS;3;5;E;D;50;OGR.GOR. FADI YILMAZ
CENG342;Parallel Programming I;3;5;E;D;45;DR. OGR. UYESI FAHREDDIN SUKRU TORUN
CENG404;Special Topics in CENG II;4;5;E;D;25;DR. OGR. UYESI SHAFQAT UR REHMAN
CENG415;Applications of Computer Graphics;4;5;E;D;25;DR. OGR. UYESI MUHAMMED ABDULLAH BULBUL
CENG424;COMPUTER SIMULATION AND MODELLING;4;5;E;D;30;DR. OGR. UYESI TAREK NAJJAR
CENG427;Programming of Mobile Devices;4;5;E;D;33;AR. GOR. DR. IBRAHIM ATLI
CENG428;NEURAL NETWORKS;4;5;E;D;25;DR. OGR. UYESI FATIH NAR
CENG431;INTRODUCTION TO DESING PATTERNS;4;5;E;D;25;OGR.GOR. YUSUF EVREN AYKAC
CENG451;Principles of Cyber Physical Systems;4;5;E;D;25;PROF.DR. REMZI YILDIRIM
CENG462;GAME PROGRAMMING PIPELINE;4;5;E;D;25;OGR.GOR. YUSUF EVREN AYKAC
CENG465;INTERNET OF THINGS AND ITS APPLICATIONS;4;5;E;D;25;PROF.DR. REMZI YILDIRIM
CENG474;COMMUNICATION AND NETWORK SECURITY;4;5;E;D;25;OGR.GOR. FADI YILMAZ
